score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
25,35.37,21.8,0.79,4.38,2.13,57.13,58.57,2.52,2.52,LONG
-49,24.69,22.0,0.93,4.51,-2.21,58.7,57.37,-0.27,-2.27,SHORT
41,26.61,17.3,0.34,6.83,3.45,56.05,58.12,3.68,-0.06,SHORT
-59,19.34,15.86,0.68,3.05,-1.52,56.42,55.5,0.12,-1.63,SHORT
-59,17.35,13.39,0.5,5.38,-2.55,55.25,53.79,1.34,-2.64,LONG
17,17.68,11.49,0.59,4.53,2.26,54.22,55.47,2.31,-0.51,SHORT
-59,13.91,9.46,0.54,3.58,-1.73,55.12,54.15,0.58,-1.76,SHORT
-59,18.9,3.42,0.2,6.06,-3.09,52.44,50.67,1.11,-3.37,LONG
-59,22.43,2.13,0.45,5.18,-2.6,50.94,49.23,0.49,-3.37,LONG
-59,26.11,1.55,0.6,6.38,-3.17,49.65,48.01,1.32,-3.29,SHORT
-17,41.16,1.57,0.83,2.41,1.2,45.59,46.22,1.38,-0.13,LONG
-59,37.68,6.34,0.38,4.25,-2.03,46.8,45.82,0.64,-2.1,SHORT
-59,41.03,3.19,0.27,6.16,-3.13,44.68,43.17,0.83,-3.39,SHORT
-31,52.41,0.87,0.16,9.4,4.85,41.2,43.38,5.29,-2.78,LONG
41,35.69,11.41,0.72,5.35,2.64,45.55,46.83,2.82,-0.29,LONG
51,28.13,14.87,0.32,5.85,2.73,47.36,48.75,2.93,-2.05,LONG
59,19.8,16.94,0.81,6.12,3.0,48.99,50.86,3.81,-0.47,SHORT
59,14.26,16.51,0.81,5.46,2.63,49.5,50.88,2.78,-1.6,SHORT
59,11.48,15.29,0.88,2.76,1.37,49.38,50.1,1.46,-0.32,LONG
59,6.2,17.93,0.31,5.67,2.66,51.3,52.76,2.84,-1.82,SHORT
59,3.29,18.23,0.72,5.11,2.46,52.03,53.46,2.75,-0.71,LONG
3,0.56,22.87,0.79,5.48,-2.64,54.46,52.88,1.14,-2.9,LONG
59,2.21,23.18,0.94,4.45,2.18,54.31,55.55,2.27,-0.55,LONG
59,0.52,26.75,0.36,6.25,2.92,56.48,58.2,3.03,-2.54,SHORT
59,0.45,28.82,0.57,5.75,2.73,57.9,59.62,2.97,-1.11,LONG
59,4.95,37.49,0.19,13.53,5.75,64.25,68.3,6.31,-0.71,LONG
31,6.28,44.39,0.3,11.28,-4.97,69.29,65.16,0.09,-5.97,SHORT
59,3.34,39.85,0.22,8.87,4.54,64.51,67.61,4.81,-4.59,SHORT
59,4.78,39.82,0.83,7.19,3.51,66.78,69.3,3.78,0.07,LONG
17,0.73,43.68,0.32,11.11,-4.91,71.81,68.04,4.59,-5.26,LONG
59,7.72,39.69,0.63,12.8,6.3,68.37,72.99,6.75,0.11,LONG
17,2.17,44.65,0.06,9.55,-4.2,74.52,71.25,0.76,-4.39,LONG
59,8.12,41.17,0.85,6.35,3.05,73.16,75.53,3.24,-0.64,SHORT
